contractsymbol,lasttradedate,strike,lastprice,bid,ask,change,percentchange,volume,openinterest,impliedvolatility,inthemoney,contractsize,currency,option_type,ticker,expiration,valuation_date,mid,days_to_expiry,ttm,spot,moneyness,spread,spread_over_mid,trade_age_days,log_moneyness,maturity_bucket
GOOG260410C00255000,2026-04-02 19:32:47,255.0,39.35,37.2,41.05,8.099998,25.919994,2.0,52,0.7768577001953125,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,39.125,7,0.019178082191780823,294.4599914550781,0.8659920104592612,3.8499999999999943,0.09840255591054299,1,-0.14387959625987967,weekly
GOOG260410C00260000,2026-04-02 19:46:45,260.0,34.0,33.6,35.75,-1.8800011,-5.239691,5.0,72,0.6584506811523438,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,34.675,7,0.019178082191780823,294.4599914550781,0.8829722459584625,2.1499999999999986,0.062004325883201115,1,-0.12446151040277803,weekly
GOOG260410C00265000,2026-04-02 19:50:38,265.0,29.62,27.65,31.3,-0.36999893,-1.233741,26.0,40,0.6477086010742188,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,29.475,7,0.019178082191780823,294.4599914550781,0.8999524814576637,3.650000000000002,0.12383375742154375,1,-0.1054133154320835,weekly
GOOG260410C00267500,2026-03-31 15:30:18,267.5,15.65,25.1,28.65,0.0,0.0,29.0,62,0.5905802661132813,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,26.875,7,0.019178082191780823,294.4599914550781,0.9084425992072642,3.549999999999997,0.13209302325581385,3,-0.09602357508224457,weekly
GOOG260410C00270000,2026-04-02 19:59:53,270.0,25.0,23.0,26.0,-1.1499996,-4.397704,15.0,179,0.534184345703125,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,24.5,7,0.019178082191780823,294.4599914550781,0.9169327169568648,3.0,0.12244897959183673,1,-0.08672118241993103,weekly
GOOG260410C00272500,2026-04-02 19:48:29,272.5,21.69,20.5,24.25,-1.9899998,-8.403715,24.0,219,0.567265069580078,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,22.375,7,0.019178082191780823,294.4599914550781,0.9254228347064655,3.75,0.16759776536312848,1,-0.077504527315007,weekly
GOOG260410C00275000,2026-04-02 19:57:55,275.0,20.14,19.35,20.9,-1.1599998,-5.446009,49.0,301,0.44360907958984375,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,20.125,7,0.019178082191780823,294.4599914550781,0.9339129524560661,1.5499999999999972,0.07701863354037253,1,-0.06837204375173445,weekly
GOOG260410C00277500,2026-04-02 19:28:45,277.5,17.32,16.55,19.2,-1.6700001,-8.794103,8.0,328,0.4753470434570312,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,17.875,7,0.019178082191780823,294.4599914550781,0.9424030702056667,2.6499999999999986,0.14825174825174817,1,-0.05932220823181651,weekly
GOOG260410C00280000,2026-04-02 19:52:37,280.0,15.5,14.75,16.35,-1.5,-8.823529,135.0,766,0.4018614501953125,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,15.55,7,0.019178082191780823,294.4599914550781,0.9508931879552672,1.6000000000000014,0.10289389067524124,1,-0.0503535382490562,weekly
GOOG260410C00282500,2026-04-02 19:36:55,282.5,12.7,12.3,14.65,-2.13,-14.36278,79.0,363,0.4185849157714844,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,13.475000000000001,7,0.019178082191780823,294.4599914550781,0.9593833057048679,2.3499999999999996,0.17439703153988864,1,-0.04146459083181015,weekly
GOOG260410C00285000,2026-04-02 19:59:15,285.0,11.33,11.1,11.55,-1.0200005,-8.259113,425.0,1253,0.32691102783203124,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,11.325,7,0.019178082191780823,294.4599914550781,0.9678734234544685,0.45000000000000107,0.03973509933774844,1,-0.032653961149655235,weekly
GOOG260410C00287500,2026-04-02 19:57:57,287.5,9.3,9.2,9.6,-1.4499998,-13.48837,551.0,594,0.3156806713867187,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,9.399999999999999,7,0.019178082191780823,294.4599914550781,0.9763635412040691,0.40000000000000036,0.04255319148936175,1,-0.02392028118090061,weekly
GOOG260410C00290000,2026-04-02 19:59:40,290.0,7.58,7.4,7.75,-1.21,-13.765643,1364.0,1558,0.3023751403808594,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,7.575,7,0.019178082191780823,294.4599914550781,0.9848536589536697,0.34999999999999964,0.04620462046204616,1,-0.015262218437786003,weekly
GOOG260410C00292500,2026-04-02 19:58:11,292.5,5.9,5.8,6.1,-1.3499999,-18.620687,1228.0,971,0.291877198486328,True,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,5.949999999999999,7,0.019178082191780823,294.4599914550781,0.9933437767032702,0.2999999999999998,0.050420168067226864,1,-0.006678474746394621,weekly
GOOG260410C00295000,2026-04-02 19:59:00,295.0,4.45,4.4,4.6,-1.3500004,-23.27587,2113.0,1536,0.2795482202148437,False,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,4.5,7,0.019178082191780823,294.4599914550781,1.0018338944528709,0.1999999999999993,0.04444444444444429,1,0.0018322149215140434,weekly
GOOG260410C00297500,2026-04-02 19:58:28,297.5,3.21,3.1,3.4,-1.29,-28.666666,872.0,484,0.2727123510742187,False,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,3.25,7,0.019178082191780823,294.4599914550781,1.0103240122024715,0.2999999999999998,0.09230769230769226,1,0.010271083567378691,weekly
GOOG260410C00300000,2026-04-02 19:59:53,300.0,2.3,2.22,2.3,-1.1000001,-32.352943,2461.0,3920,0.25879647460937505,False,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,2.26,7,0.019178082191780823,294.4599914550781,1.018814129952072,0.07999999999999963,0.035398230088495415,1,0.018639333237895322,weekly
GOOG260410C00302500,2026-04-02 19:59:20,302.5,1.51,1.46,1.55,-0.8399999,-35.74468,6846.0,794,0.2533033654785156,False,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,1.505,7,0.019178082191780823,294.4599914550781,1.0273042477016727,0.09000000000000008,0.0598006644518273,1,0.026938136052590437,weekly
GOOG260410C00305000,2026-04-02 19:59:52,305.0,0.97,0.94,1.0,-0.8399999,-46.408836,1564.0,3108,0.2486647399902344,False,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,0.97,7,0.019178082191780823,294.4599914550781,1.0357943654512733,0.06000000000000005,0.06185567010309284,1,0.03516863518910593,weekly
GOOG260410C00307500,2026-04-02 19:58:15,307.5,0.63,0.58,0.67,-0.56000006,-47.058826,578.0,590,0.2507399145507812,False,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,0.625,7,0.019178082191780823,294.4599914550781,1.044284483200874,0.09000000000000008,0.14400000000000013,1,0.04333194582826689,weekly
GOOG260410C00310000,2026-04-02 19:58:39,310.0,0.39,0.38,0.4,-0.48000002,-55.172413,1075.0,2517,0.247077841796875,False,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,0.39,7,0.019178082191780823,294.4599914550781,1.0527746009504746,0.020000000000000018,0.05128205128205133,1,0.05142915606088628,weekly
GOOG260410C00312500,2026-04-02 19:59:10,312.5,0.25,0.23,0.27,-0.32999998,-56.89655,768.0,331,0.2524488818359375,False,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,0.25,7,0.019178082191780823,294.4599914550781,1.061264718700075,0.04000000000000001,0.16000000000000003,1,0.05946132775815035,weekly
GOOG260410C00315000,2026-04-02 19:59:51,315.0,0.18,0.15,0.17,-0.22,-55.0,1422.0,1304,0.25489026367187506,False,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,0.16,7,0.019178082191780823,294.4599914550781,1.0697548364496756,0.020000000000000018,0.1250000000000001,1,0.06742949740732725,weekly
GOOG260410C00317500,2026-04-02 19:59:42,317.5,0.12,0.1,0.12,-0.15,-55.555557,494.0,476,0.26270268554687504,False,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,0.11,7,0.019178082191780823,294.4599914550781,1.0782449541992762,0.01999999999999999,0.18181818181818174,1,0.07533467691444054,weekly
GOOG260410C00320000,2026-04-02 19:51:27,320.0,0.08,0.07,0.09,-0.11,-57.894737,1062.0,1468,0.27295648925781246,False,REGULAR,USD,call,GOOG,2026-04-10,2026-04-03,0.08,7,0.019178082191780823,294.4599914550781,1.0867350719488769,0.01999999999999999,0.24999999999999986,1,0.08317785437546646,weekly
GOOG260410P00255000,2026-04-02 18:58:20,255.0,0.07,0.06,0.09,-0.07,-50.0,361.0,486,0.44336494140625,False,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,0.075,7,0.019178082191780823,294.4599914550781,0.8659920104592612,0.03,0.4,1,-0.14387959625987967,weekly
GOOG260410P00260000,2026-04-02 19:51:42,260.0,0.11,0.11,0.13,-0.120000005,-52.173912,262.0,891,0.41309180664062495,False,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,0.12,7,0.019178082191780823,294.4599914550781,0.8829722459584625,0.020000000000000004,0.1666666666666667,1,-0.12446151040277803,weekly
GOOG260410P00265000,2026-04-02 19:50:13,265.0,0.21,0.19,0.22,-0.14,-40.0,531.0,823,0.39160764648437496,False,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,0.20500000000000002,7,0.019178082191780823,294.4599914550781,0.8999524814576637,0.03,0.14634146341463414,1,-0.1054133154320835,weekly
GOOG260410P00267500,2026-04-02 19:47:13,267.5,0.29,0.18,0.3,-0.17000002,-36.956524,54.0,251,0.3842835009765625,False,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,0.24,7,0.019178082191780823,294.4599914550781,0.9084425992072642,0.12,0.5,1,-0.09602357508224457,weekly
GOOG260410P00270000,2026-04-02 19:59:26,270.0,0.35,0.35,0.37,-0.21000001,-37.5,1246.0,925,0.36914693359375,False,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,0.36,7,0.019178082191780823,294.4599914550781,0.9169327169568648,0.020000000000000018,0.05555555555555561,1,-0.08672118241993103,weekly
GOOG260410P00272500,2026-04-02 19:59:25,272.5,0.47,0.45,0.49,-0.29999998,-38.961037,273.0,516,0.35986968261718744,False,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,0.47,7,0.019178082191780823,294.4599914550781,0.9254228347064655,0.03999999999999998,0.08510638297872336,1,-0.077504527315007,weekly
GOOG260410P00275000,2026-04-02 19:59:14,275.0,0.61,0.6,0.66,-0.31,-33.695652,545.0,1442,0.3523013989257812,False,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,0.63,7,0.019178082191780823,294.4599914550781,0.9339129524560661,0.06000000000000005,0.09523809523809532,1,-0.06837204375173445,weekly
GOOG260410P00277500,2026-04-02 19:59:14,277.5,0.83,0.78,0.88,-0.27000004,-24.545458,481.0,313,0.3442448388671875,False,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,0.8300000000000001,7,0.019178082191780823,294.4599914550781,0.9424030702056667,0.09999999999999998,0.12048192771084333,1,-0.05932220823181651,weekly
GOOG260410P00280000,2026-04-02 19:57:53,280.0,1.13,1.0,1.13,-0.35000002,-23.64865,1509.0,1459,0.3327703442382813,False,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,1.065,7,0.019178082191780823,294.4599914550781,0.9508931879552672,0.1299999999999999,0.12206572769953042,1,-0.0503535382490562,weekly
GOOG260410P00282500,2026-04-02 19:59:50,282.5,1.38,1.17,1.57,-0.49,-26.203209,255.0,446,0.3314275842285156,False,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,1.37,7,0.019178082191780823,294.4599914550781,0.9593833057048679,0.40000000000000013,0.2919708029197081,1,-0.04146459083181015,weekly
GOOG260410P00285000,2026-04-02 19:59:52,285.0,1.8,1.61,1.85,-0.55999994,-23.728811,853.0,887,0.3090889404296875,False,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,1.73,7,0.019178082191780823,294.4599914550781,0.9678734234544685,0.24,0.13872832369942195,1,-0.032653961149655235,weekly
GOOG260410P00287500,2026-04-02 19:59:33,287.5,2.4,2.3,2.47,-0.4699998,-16.3763,765.0,381,0.3043282458496094,False,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,2.385,7,0.019178082191780823,294.4599914550781,0.9763635412040691,0.17000000000000037,0.07127882599580729,1,-0.02392028118090061,weekly
GOOG260410P00290000,2026-04-02 19:59:07,290.0,3.06,3.0,3.15,-0.61000013,-16.621258,1156.0,1578,0.29383030395507803,False,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,3.075,7,0.019178082191780823,294.4599914550781,0.9848536589536697,0.1499999999999999,0.048780487804878016,1,-0.015262218437786003,weekly
GOOG260410P00292500,2026-04-02 19:59:50,292.5,3.84,3.8,4.0,-0.6600001,-14.666669,2512.0,791,0.2838206384277343,False,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,3.9,7,0.019178082191780823,294.4599914550781,0.9933437767032702,0.20000000000000018,0.05128205128205133,1,-0.006678474746394621,weekly
GOOG260410P00295000,2026-04-02 19:59:36,295.0,4.93,4.85,5.05,-0.62000036,-11.171177,593.0,873,0.2742992492675781,True,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,4.949999999999999,7,0.019178082191780823,294.4599914550781,1.0018338944528709,0.20000000000000018,0.04040404040404045,1,0.0018322149215140434,weekly
GOOG260410P00297500,2026-04-02 19:54:11,297.5,6.35,6.0,6.5,-0.5100002,-7.4344053,83.0,180,0.27625235473632803,True,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,6.25,7,0.019178082191780823,294.4599914550781,1.0103240122024715,0.5,0.08,1,0.010271083567378691,weekly
GOOG260410P00300000,2026-04-02 19:55:06,300.0,7.95,7.25,8.0,-0.32999992,-3.9855063,700.0,1801,0.2690502783203125,True,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,7.625,7,0.019178082191780823,294.4599914550781,1.018814129952072,0.75,0.09836065573770492,1,0.018639333237895322,weekly
GOOG260410P00302500,2026-04-02 19:56:51,302.5,9.58,8.95,10.05,0.5799999,6.4444437,46.0,76,0.28613995117187496,True,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,9.5,7,0.019178082191780823,294.4599914550781,1.0273042477016727,1.1000000000000014,0.11578947368421068,1,0.026938136052590437,weekly
GOOG260410P00305000,2026-04-02 19:59:39,305.0,11.48,11.0,12.2,-0.12000084,-1.0344899,5.0,177,0.30286341674804684,True,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,11.6,7,0.019178082191780823,294.4599914550781,1.0357943654512733,1.1999999999999993,0.10344827586206891,1,0.03516863518910593,weekly
GOOG260410P00307500,2026-04-01 19:13:02,307.5,13.95,13.25,14.7,0.5999994,4.4943776,1.0,36,0.34229173339843744,True,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,13.975,7,0.019178082191780823,294.4599914550781,1.044284483200874,1.4499999999999993,0.10375670840787116,2,0.04333194582826689,weekly
GOOG260410P00310000,2026-04-02 18:55:12,310.0,16.55,14.95,18.3,0.34999847,2.1604843,5.0,141,0.4664359997558594,True,REGULAR,USD,put,GOOG,2026-04-10,2026-04-03,16.625,7,0.019178082191780823,294.4599914550781,1.0527746009504746,3.3500000000000014,0.20150375939849632,1,0.05142915606088628,weekly
GOOG260501C00255000,2026-04-01 17:54:07,255.0,44.65,40.55,43.5,0.0,0.0,10.0,11,0.5496871203613283,True,REGULAR,USD,call,GOOG,2026-05-01,2026-04-03,42.025,28,0.07671232876712329,294.4599914550781,0.8659920104592612,2.950000000000003,0.07019631171921482,2,-0.14387959625987967,short
GOOG260501C00260000,2026-04-01 19:39:12,260.0,38.0,35.5,39.05,0.0,0.0,1.0,24,0.5258836474609375,True,REGULAR,USD,call,GOOG,2026-05-01,2026-04-03,37.275,28,0.07671232876712329,294.4599914550781,0.8829722459584625,3.549999999999997,0.09523809523809516,2,-0.12446151040277803,short
GOOG260501C00265000,2026-04-02 14:26:35,265.0,32.0,32.65,34.6,13.65,74.38692,1.0,27,0.49847913635253904,True,REGULAR,USD,call,GOOG,2026-05-01,2026-04-03,33.625,28,0.07671232876712329,294.4599914550781,0.8999524814576637,1.9500000000000028,0.05799256505576217,1,-0.1054133154320835,short
GOOG260501C00270000,2026-04-01 14:06:20,270.0,27.9,27.4,30.15,0.0,0.0,1.0,42,0.46747358703613284,True,REGULAR,USD,call,GOOG,2026-05-01,2026-04-03,28.775,28,0.07671232876712329,294.4599914550781,0.9169327169568648,2.75,0.0955690703735882,2,-0.08672118241993103,short
GOOG260501C00275000,2026-04-02 13:44:25,275.0,21.35,23.95,26.25,-4.6499996,-17.884613,1.0,161,0.4529473651123047,True,REGULAR,USD,call,GOOG,2026-05-01,2026-04-03,25.1,28,0.07671232876712329,294.4599914550781,0.9339129524560661,2.3000000000000007,0.0916334661354582,1,-0.06837204375173445,short
GOOG260501C00280000,2026-04-02 14:33:42,280.0,21.0,20.3,22.35,-1.8999996,-8.296942,34.0,145,0.43201251586914063,True,REGULAR,USD,call,GOOG,2026-05-01,2026-04-03,21.325000000000003,28,0.07671232876712329,294.4599914550781,0.9508931879552672,2.0500000000000007,0.09613130128956626,1,-0.0503535382490562,short
GOOG260501C00285000,2026-04-02 19:58:48,285.0,18.05,16.9,18.35,-0.9900017,-5.1995883,24.0,146,0.40167834655761714,True,REGULAR,USD,call,GOOG,2026-05-01,2026-04-03,17.625,28,0.07671232876712329,294.4599914550781,0.9678734234544685,1.4500000000000028,0.08226950354609945,1,-0.032653961149655235,short
GOOG260501C00290000,2026-04-02 19:21:53,290.0,14.91,14.25,15.6,-0.84000015,-5.333334,98.0,205,0.40344834838867194,True,REGULAR,USD,call,GOOG,2026-05-01,2026-04-03,14.925,28,0.07671232876712329,294.4599914550781,0.9848536589536697,1.3499999999999996,0.09045226130653264,1,-0.015262218437786003,short
GOOG260501C00295000,2026-04-02 19:48:04,295.0,11.9,11.8,12.3,-1.25,-9.505704,112.0,2824,0.37933970275878903,False,REGULAR,USD,call,GOOG,2026-05-01,2026-04-03,12.05,28,0.07671232876712329,294.4599914550781,1.0018338944528709,0.5,0.04149377593360996,1,0.0018322149215140434,short
GOOG260501C00300000,2026-04-02 19:59:47,300.0,9.6,9.4,9.9,-0.7699995,-7.4252605,148.0,1116,0.3733583172607422,False,REGULAR,USD,call,GOOG,2026-05-01,2026-04-03,9.65,28,0.07671232876712329,294.4599914550781,1.018814129952072,0.5,0.05181347150259067,1,0.018639333237895322,short
GOOG260501C00305000,2026-04-02 19:47:39,305.0,7.15,7.25,7.6,-0.9999995,-12.269934,137.0,370,0.3606631317138671,False,REGULAR,USD,call,GOOG,2026-05-01,2026-04-03,7.425,28,0.07671232876712329,294.4599914550781,1.0357943654512733,0.34999999999999964,0.04713804713804709,1,0.03516863518910593,short
GOOG260501C00310000,2026-04-02 19:57:49,310.0,5.55,5.5,5.75,-0.75,-11.904761,80.0,6781,0.35169105346679685,False,REGULAR,USD,call,GOOG,2026-05-01,2026-04-03,5.625,28,0.07671232876712329,294.4599914550781,1.0527746009504746,0.25,0.044444444444444446,1,0.05142915606088628,short
GOOG260501C00315000,2026-04-02 19:57:49,315.0,4.11,4.0,4.25,-0.6799998,-14.196239,61.0,708,0.34400070068359373,False,REGULAR,USD,call,GOOG,2026-05-01,2026-04-03,4.125,28,0.07671232876712329,294.4599914550781,1.0697548364496756,0.25,0.06060606060606061,1,0.06742949740732725,short
